id,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,log_prix,price_category,surface_par_chambre,mois_annonce
4581,1350000.0,Marrakech,Route De Casablanca,75.0,2,2,14.115615891155079,Moyen,25.0,5
5750,2500000.0,Casablanca,Val Fleuri,136.0,3,2,14.731801689838349,Luxe,34.0,5
8139,1378000.0,Tanger,Malabata,106.0,3,2,14.136144456244882,Moyen,26.5,5
3087,910000.0,Casablanca,Oulfa,70.0,2,2,13.721200977393528,Moyen,23.333333333333332,5
7104,380000.0,Sidi Rahal,Toute La Ville,67.0,2,1,12.847929163278053,Économique,22.333333333333332,5
6883,1550000.0,Marrakech,Guéliz,84.0,2,2,14.253766134056512,Luxe,28.0,5
7144,910000.0,Casablanca,Oulfa,70.0,2,2,13.721200977393528,Moyen,23.333333333333332,5
3346,850000.0,Marrakech,Semlalia,91.0,2,1,13.652992804936396,Moyen,30.333333333333332,5
7315,700000.0,Marrakech,Hay Izdihar,57.0,2,2,13.45883704259595,Moyen,19.0,5
5870,850000.0,Essaouira,Centre Ville,62.0,1,1,13.652992804936396,Moyen,31.0,5
6506,165000.0,Fès,Zouagha,56.0,2,1,12.013706813470414,Économique,18.666666666666668,5
2798,600000.0,Casablanca,Ain Sebaa,58.0,2,1,13.304686600863562,Moyen,19.333333333333332,5
919,2000000.0,Casablanca,Abdelmoumen,131.0,2,2,14.508658238524095,Luxe,43.666666666666664,5
1647,690000.0,Casablanca,Autre Secteur,67.0,2,1,13.444448325847754,Moyen,22.333333333333332,5
5123,490000.0,Tanger,Mesnana,55.0,2,1,13.102162710901053,Économique,18.333333333333332,5
5127,330000.0,Dar Bouazza,Toute La Ville,56.0,2,1,12.706850963741102,Économique,18.666666666666668,5
4979,2100000.0,Saidia,Toute La Ville,180.0,2,2,14.557448378884015,Luxe,60.0,5
5432,1850000.0,Meknès,Hamria,208.0,3,2,14.430696737594902,Luxe,52.0,5
6843,1290000.0,Marrakech,Guéliz,87.0,2,2,14.070153551531353,Moyen,29.0,5
4622,1020000.0,Tanger,Tanja Balia,118.0,2,1,13.83531416565213,Moyen,39.333333333333336,5
6810,620000.0,Agadir,Autre Secteur,50.0,2,1,13.3374763699232,Moyen,16.666666666666668,5
365,2900000.0,Tanger,Malabata,82.0,2,1,14.88022163978423,Luxe,27.333333333333332,5
3288,1900000.0,Marrakech,Allal El Fassi,136.0,2,2,14.45736497045232,Luxe,45.333333333333336,5
2126,2200000.0,Casablanca,Ferme Bretone,99.0,2,2,14.603968372873895,Luxe,33.0,5
4124,3100000.0,Casablanca,Maarif,178.0,3,2,14.946912992035967,Luxe,44.5,5
4570,260000.0,Salé,Bab Sebta,50.0,2,1,12.468440756144114,Économique,16.666666666666668,5
526,300000.0,Casablanca,Lissasfa,56.0,2,1,12.611541086966115,Économique,18.666666666666668,5
4821,1530000.0,Casablanca,Bourgogne,91.0,2,1,14.240778946963175,Luxe,30.333333333333332,5
56,1030000.0,Mohammedia,Autre Secteur,91.0,2,2,13.845070331079134,Moyen,30.333333333333332,5
639,670000.0,Marrakech,Azzouzia,80.0,2,2,13.415034483903348,Moyen,26.666666666666668,5
303,3750000.0,Casablanca,Racine,190.0,4,3,15.137266664613225,Luxe,38.0,5
2767,310000.0,Had Soualem,Toute La Ville,54.0,2,2,12.644330802262578,Économique,18.0,5
5811,810000.0,Bouznika,Al Kawtar,95.0,2,2,13.60479076121576,Moyen,31.666666666666668,5
1276,680000.0,Salé,Sala El Jadida,68.0,2,2,13.429849547739444,Moyen,22.666666666666668,5
7673,450000.0,Tétouan,Rbat Asfaa,63.0,2,1,13.017005083966255,Économique,21.0,5
